GAME_DATE_EST,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,HOME_WIN_PRED
2021-11-17,Hornets,Wizards,2021,97,0.438,0.5,0.313,30,59,87,0.367,0.813,0.19,23,48,1,1
2021-11-17,Pistons,Pacers,2021,97,0.425,0.75,0.286,16,42,89,0.418,0.737,0.243,14,43,1,1
2021-11-17,Hawks,Celtics,2021,110,0.506,0.833,0.351,28,40,99,0.44,0.824,0.268,24,42,1,1
2021-11-17,Nets,Cavaliers,2021,109,0.458,0.84,0.375,29,47,99,0.393,0.857,0.25,20,50,1,1
2021-11-17,Heat,Pelicans,2021,113,0.483,0.824,0.375,29,39,98,0.44,0.786,0.286,18,38,1,1
2021-11-17,Knicks,Magic,2021,98,0.42,0.667,0.327,25,45,104,0.406,0.833,0.289,20,51,0,0
2021-11-17,Bucks,Lakers,2021,109,0.46,0.708,0.324,22,52,102,0.417,0.833,0.279,24,48,1,1
2021-11-17,Timberwolves,Kings,2021,107,0.5,0.833,0.278,20,35,97,0.366,0.76,0.263,19,47,1,1
2021-11-17,Thunder,Rockets,2021,101,0.446,0.563,0.256,18,56,89,0.356,0.684,0.286,16,46,1,1
2021-11-17,Suns,Mavericks,2021,105,0.441,0.714,0.333,27,49,98,0.413,1,0.5,28,50,1,1
2021-11-17,Trail Blazers,Bulls,2021,112,0.44,0.964,0.355,26,44,107,0.47,0.8,0.448,23,36,1,1
2021-11-16,Nets,Warriors,2021,99,0.386,0.778,0.278,21,38,117,0.519,0.786,0.325,25,53,0,0
2021-11-16,Jazz,76ers,2021,120,0.517,0.632,0.421,27,56,85,0.367,0.765,0.207,19,42,1,1
2021-11-16,Clippers,Spurs,2021,106,0.435,0.909,0.316,16,52,92,0.432,0.714,0.227,26,41,1,1
2021-11-15,Cavaliers,Celtics,2021,92,0.386,0.75,0.4,18,42,98,0.462,0.8,0.345,23,46,0,0
2021-11-15,Pistons,Kings,2021,107,0.406,0.941,0.277,23,47,129,0.531,0.818,0.485,32,47,0,0
2021-11-15,Wizards,Pelicans,2021,105,0.464,0.68,0.357,23,42,100,0.405,0.853,0.524,20,45,1,1
2021-11-15,Hawks,Magic,2021,129,0.553,0.656,0.467,32,46,111,0.453,0.643,0.372,30,41,1,1
2021-11-15,Knicks,Pacers,2021,92,0.43,0.7,0.324,22,46,84,0.372,0.75,0.216,16,44,1,1
2021-11-15,Mavericks,Nuggets,2021,111,0.5,0.7,0.389,30,44,101,0.476,0.706,0.281,20,46,1,1
2021-11-15,Grizzlies,Rockets,2021,136,0.542,0.8,0.39,33,49,102,0.379,0.731,0.289,24,46,1,1
